Program,MemoryMiB,InputMiB,NumThreads,Runtime,ReadIO,WriteIO,TotalIO
IntroSort,256,256,1,36,330.924,616.321,947.245
IntroSort,256,256,8,8,301.15,685.273,986.423
IntroSort,256,256,8,13,360.751,500.314,861.065
IntroSort,256,256,1,48,529.609,800.309,1329.92
IntroSort,256,256,8,11,403.972,500.494,904.466
IntroSort,256,256,1,46,515.613,709.759,1225.37
IntroSort,256,512,1,96,1749.54,1554.57,3304.11
IntroSort,256,512,8,37,1602.06,1524.51,3126.57
IntroSort,256,512,8,59,1688.24,1486.66,3174.9
IntroSort,256,512,1,171,2563.11,1743.08,4306.19
IntroSort,256,512,8,50,1636.81,1368.92,3005.73
IntroSort,256,512,1,144,1777.46,1639.64,3417.1
IntroSort,256,1024,1,221,4752.71,4021.72,8774.43
IntroSort,256,1024,8,101,4663.69,3540.55,8204.24
IntroSort,256,1024,8,151,5055.29,3483.25,8538.54
IntroSort,256,1024,1,367,5286.08,3935.27,9221.35
IntroSort,256,1024,8,139,5165.04,3531.28,8696.31
IntroSort,256,1024,1,362,5352.24,4018.12,9370.36
IntroSort,256,2048,1,489,12978.4,8816.85,21795.2
IntroSort,256,2048,8,268,12802.2,8388.02,21190.2
IntroSort,256,2048,8,370,13400.2,8359.15,21759.3
IntroSort,256,2048,1,842,13038.1,8893.68,21931.8
IntroSort,256,2048,8,320,12566.7,8255.84,20822.5
IntroSort,256,2048,1,806,12338.6,8641.81,20980.4
IntroSort,256,4096,1,1114,32092,20150.6,52242.6
IntroSort,256,4096,8,649,29888.4,18487.4,48375.8
IntroSort,256,4096,8,841,30198.7,19154.4,49353.2
IntroSort,256,4096,1,1877,32693.2,19876.2,52569.4
IntroSort,256,4096,8,865,30891.5,18815.6,49707
IntroSort,256,4096,1,1888,30623.2,20133,50756.2
